"Date","Price","Open","High","Low","Vol.","Change %"
"07/10/2025","3324.03","3317.65","3330.35","3310.26","","0.19%"
"07/09/2025","3317.69","3298.73","3319.87","3282.80","","0.51%"
"07/08/2025","3300.70","3335.99","3345.94","3287.17","","-1.05%"
"07/07/2025","3335.61","3335.95","3343.29","3296.41","","0.20%"
"07/06/2025","3328.98","3341.40","3341.89","3326.37","","-0.23%"
"07/04/2025","3336.64","3326.44","3345.15","3323.59","","0.30%"
"07/03/2025","3326.57","3357.36","3365.81","3311.70","","-0.92%"
"07/02/2025","3357.36","3338.36","3360.08","3327.60","","0.54%"
"07/01/2025","3339.21","3302.87","3358.09","3301.52","","1.08%"
"06/30/2025","3303.69","3272.65","3309.58","3247.86","","0.90%"
"06/27/2025","3274.25","3328.06","3328.88","3255.72","","-1.62%"
"06/26/2025","3328.06","3332.47","3350.47","3310.01","","-0.13%"
"06/25/2025","3332.46","3324.20","3337.23","3312.00","","0.25%"
"06/24/2025","3324.20","3368.79","3371.01","3295.38","","-1.33%"
"06/23/2025","3368.88","3367.17","3399.25","3347.25","","0.02%"
"06/20/2025","3368.23","3370.82","3374.63","3340.38","","-0.07%"
"06/19/2025","3370.75","3369.08","3388.07","3347.59","","0.05%"
"06/18/2025","3369.09","3390.40","3400.05","3362.54","","-0.58%"
"06/17/2025","3388.74","3383.20","3403.39","3366.25","","0.16%"
"06/16/2025","3383.20","3431.54","3451.62","3382.40","","-1.44%"
"06/13/2025","3432.64","3385.30","3447.02","3379.79","","1.40%"
"06/12/2025","3385.29","3357.24","3399.16","3338.64","","0.94%"
"06/11/2025","3353.84","3322.52","3360.82","3315.23","","0.93%"
"06/10/2025","3323.02","3328.58","3349.28","3301.92","","-0.16%"
"06/09/2025","3328.33","3311.51","3338.43","3293.70","","0.55%"
"06/06/2025","3310.17","3354.26","3375.74","3306.87","","-1.31%"
"06/05/2025","3354.16","3376.55","3403.55","3339.20","","-0.66%"
"06/04/2025","3376.54","3352.56","3384.84","3343.76","","0.72%"
"06/03/2025","3352.25","3379.99","3392.53","3333.08","","-0.83%"
"06/02/2025","3380.21","3289.80","3383.24","3289.41","","2.76%"
"05/30/2025","3289.40","3319.51","3322.95","3271.55","","-0.83%"
"05/29/2025","3317.02","3286.36","3330.94","3245.55","","0.83%"
"05/28/2025","3289.76","3300.70","3325.68","3276.31","","-0.33%"
"05/27/2025","3300.68","3344.00","3350.21","3285.70","","-1.26%"
"05/26/2025","3342.94","3354.30","3357.03","3323.91","","-0.43%"
"05/23/2025","3357.42","3297.15","3366.39","3287.24","","1.89%"
"05/22/2025","3295.00","3316.49","3345.62","3279.55","","-0.60%"
"05/21/2025","3314.99","3290.12","3325.14","3285.51","","0.76%"
